province_region,NOC code,Occupational Group,2016,2017,2018,2019,2020,2021,2022,2023
Canada,3124,Allied primary health practitioners,1,1,0,0,1,2,1,7
Canada,3125,Other professional occupations in health diagnosing and treating,7,3,1,1,2,5,9,7
Canada,3131,Pharmacists,22,4,2,1,3,2,4,16
Canada,3132,Dietitians and nutritionists,1,0,0,0,1,2,1,2
Canada,3141,Audiologists and speech-language pathologists,2,3,3,3,5,5,9,6
Canada,3142,Physiotherapists,11,4,5,4,8,24,54,46
Canada,3143,Occupational therapists,0,2,0,1,0,0,1,0
Canada,3144,Other professional occupations in therapy and assessment,2,0,3,2,0,3,1,2
Canada,3211,Medical laboratory technologists,0,0,1,0,0,2,3,3
Canada,3212,Medical laboratory technicians and pathologists' assistants,0,0,0,0,1,1,4,14
Canada,3213,Animal health technologists and veterinary technicians,6,12,13,12,25,58,115,64
Canada,3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",1,3,1,4,4,1,0,6
Canada,3215,Medical radiation technologists,11,1,0,0,2,1,6,21
Canada,3216,Medical sonographers,3,6,0,0,2,3,3,4
Canada,3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",2,0,0,0,1,1,1,2
Canada,3219,Other medical technologists and technicians (except dental health),6,7,6,12,22,16,63,157
Canada,3221,Denturists,0,1,0,1,0,0,3,3
Canada,3222,Dental hygienists and dental therapists,1,2,1,4,5,5,7,2
Canada,3223,"Dental technologists, technicians and laboratory assistants",33,42,44,44,35,35,61,59
Canada,3231,Opticians,2,11,3,13,8,11,20,24
Canada,3232,Practitioners of natural healing,10,26,23,25,20,14,24,26
Canada,3233,Licensed practical nurses,12,3,4,11,24,21,32,61
Canada,3234,Paramedical occupations,5,3,4,2,1,3,4,19
Canada,3236,Massage therapists,6,4,18,39,29,13,37,21
Canada,3237,Other technical occupations in therapy and assessment,9,5,5,11,19,16,31,48
Canada,3411,Dental assistants,1,2,1,4,1,1,16,32
Canada,3413,"Nurse aides, orderlies and patient service associates",24,23,16,159,438,526,"1,757","2,514"
Canada,3414,Other assisting occupations in support of health services,1,1,0,3,4,7,27,83
Canada,4011,University professors and lecturers,371,292,295,332,322,256,350,333
Canada,4012,Post-secondary teaching and research assistants,0,3,0,1,6,13,24,36
Canada,4021,College and other vocational instructors,92,58,48,32,28,25,49,54
Canada,4031,Secondary school teachers,3,4,2,3,16,14,19,25
Canada,4032,Elementary school and kindergarten teachers,11,10,5,11,125,67,70,67
Canada,4033,Educational counsellors,2,5,2,4,5,2,10,4
Canada,4111,Judges,0,0,3,1,0,1,0,0
Canada,4112,Lawyers and Quebec notaries,1,3,2,4,2,2,2,7
Canada,4151,Psychologists,3,8,2,5,16,4,14,15
Canada,4152,Social workers,1,0,0,0,4,18,52,14
Canada,4153,"Family, marriage and other related counsellors",4,2,2,2,3,2,2,4
Canada,4154,Professional occupations in religion,32,19,4,4,2,1,2,7
Canada,4155,Probation and parole officers and related occupations,0,0,0,0,0,0,0,0
Canada,4156,Employment counsellors,0,0,1,0,0,0,0,0
Canada,4161,"Natural and applied science policy researchers, consultants and program officers",4,6,1,0,2,5,8,4
Canada,4162,Economists and economic policy researchers and analysts,9,9,7,8,9,7,8,13
Canada,4163,Business development officers and marketing researchers and consultants,44,40,26,38,50,71,138,171
Canada,4164,"Social policy researchers, consultants and program officers",2,2,2,2,2,3,3,7
Canada,4165,"Health policy researchers, consultants and program officers",7,5,3,3,4,12,9,9
Canada,4166,"Education policy researchers, consultants and program officers",4,3,2,1,4,6,11,17
Canada,4167,"Recreation, sports and fitness policy researchers, consultants and program officers",4,8,10,1,2,0,5,7
Canada,4168,Program officers unique to government,0,0,0,0,0,0,0,0
Canada,4169,"Other professional occupations in social science, n.e.c.",0,2,1,0,1,2,4,1
Canada,4211,Paralegal and related occupations,5,4,4,6,3,4,6,16
Canada,4212,Social and community service workers,15,13,10,16,21,5,42,68
Canada,4214,Early childhood educators and assistants,126,208,221,437,482,412,834,"1,423"
Canada,4215,Instructors of persons with disabilities,6,4,2,5,0,1,5,5
Canada,4216,Other instructors,11,11,8,10,6,4,11,20
Canada,4217,Other religious occupations,23,6,1,7,7,4,6,4
Canada,4311,Police officers (except commissioned),0,0,0,0,0,1,0,0
Canada,4312,Firefighters,0,0,0,0,0,0,0,0
Canada,4313,Non-commissioned ranks of the Canadian Forces,0,0,0,3,0,0,0,0
Canada,4411,Home child care providers,"4,861","5,335","6,531","4,901","2,578","3,493","2,721","2,400"
Canada,4412,"Home support workers, housekeepers and related occupations","1,226","1,473","1,926","1,494",889,"1,176","1,032","1,311"
Canada,4413,Elementary and secondary school teacher assistants,0,0,0,1,0,0,7,13
Canada,4421,Sheriffs and bailiffs,0,0,0,0,0,0,2,0
Canada,4422,Correctional service officers,0,0,0,0,0,0,0,0
Canada,4423,"By-law enforcement and other regulatory officers, n.e.c.",0,0,0,0,0,0,0,0
Canada,5111,Librarians,0,0,0,0,0,0,0,1
Canada,5112,Conservators and curators,3,6,1,3,2,1,3,0
Canada,5113,Archivists,0,0,0,0,0,1,0,0
Canada,5121,Authors and writers,15,6,10,9,8,2,9,9
Canada,5122,Editors,8,6,1,5,3,5,15,7
Canada,5123,Journalists,3,2,2,3,4,2,3,4
Canada,5125,"Translators, terminologists and interpreters",32,34,118,26,0,2,7,10
Canada,5131,"Producers, directors, choreographers and related occupations",604,388,381,382,188,258,420,310
Canada,5132,"Conductors, composers and arrangers",15,4,2,4,1,0,3,3
Canada,5133,Musicians and singers,48,32,23,14,3,4,13,10
Canada,5134,Dancers,32,28,22,18,5,7,10,8
Canada,5135,Actors and comedians,554,108,59,78,8,37,74,53
Canada,5136,"Painters, sculptors and other visual artists",15,4,4,12,7,3,16,23
Canada,5211,Library and public archive technicians,0,0,0,0,0,0,0,2
Canada,5212,Technical occupations related to museums and art galleries,0,0,1,4,0,3,1,2
Canada,5221,Photographers,57,34,30,37,14,12,27,26
Canada,5222,Film and video camera operators,97,41,30,34,5,22,29,32
Canada,5223,Graphic arts technicians,12,14,14,14,22,10,30,26
Canada,5224,Broadcast technicians,1,0,1,2,2,2,2,1
Canada,5225,Audio and video recording technicians,102,48,60,75,23,40,65,64
Canada,5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",143,80,114,64,33,15,39,35
Canada,5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts",96,39,57,37,8,20,14,13
Canada,5231,Announcers and other broadcasters,23,13,14,25,9,6,13,16
Canada,5232,"Other performers, n.e.c.",483,438,426,390,67,19,95,250
Canada,5241,Graphic designers and illustrators,"1,770","1,295",940,"1,033",648,702,"1,418","1,050"
Canada,5242,Interior designers and interior decorators,18,21,21,23,27,21,39,41
Canada,5243,"Theatre, fashion, exhibit and other creative designers",63,24,21,31,11,16,18,33
Canada,5244,Artisans and craftspersons,25,19,23,15,13,11,34,23
Canada,5245,"Patternmakers - textile, leather and fur products",1,4,1,2,1,3,7,5
Canada,5251,Athletes,73,71,84,59,20,8,6,29
Canada,5252,Coaches,46,41,25,42,25,27,60,53
Canada,5253,Sports officials and referees,0,1,1,0,0,0,4,0
Canada,5254,"Program leaders and instructors in recreation, sport and fitness",197,234,233,232,92,140,264,206
Canada,6211,Retail sales supervisors,663,685,570,"1,282","1,210","1,129","2,554","2,999"
Canada,6221,Technical sales specialists - wholesale trade,112,82,49,80,82,104,174,198
Canada,6222,Retail and wholesale buyers,68,64,52,67,76,36,71,72
Canada,6231,Insurance agents and brokers,4,9,5,8,18,8,34,34
Canada,6232,Real estate agents and salespersons,0,0,0,0,0,2,0,0
Canada,6235,Financial sales representatives,5,2,5,3,5,2,6,10
Canada,6311,Food service supervisors,"1,967","2,558","2,358","3,812","4,003","4,110","9,969","10,409"
Canada,6312,Executive housekeepers,42,24,24,51,34,75,169,94
Canada,6313,"Accommodation, travel, tourism and related services supervisors",79,121,99,165,117,118,232,221
Canada,6314,Customer and information services supervisors,5,22,29,40,53,19,68,81
Canada,6315,Cleaning supervisors,212,212,175,330,264,332,673,585
Canada,6316,Other services supervisors,60,67,62,108,87,79,238,248
Canada,6321,Chefs,317,356,331,501,354,350,788,758
Canada,6322,Cooks,"2,668","3,043","3,162","5,507","4,373","4,993","12,298","11,977"
Canada,6331,"Butchers, meat cutters and fishmongers - retail and wholesale",166,238,176,206,514,670,"1,050","1,226"
Canada,6332,Bakers,181,190,194,317,352,389,"1,041","1,130"
Canada,6341,Hairstylists and barbers,152,231,277,367,300,263,633,629
Canada,6342,"Tailors, dressmakers, furriers and milliners",14,38,62,120,64,72,197,183
Canada,6343,Shoe repairers and shoemakers,1,4,0,3,2,1,6,6
Canada,6344,"Jewellers, jewellery and watch repairers and related occupations",11,21,14,18,16,12,34,29
Canada,6345,Upholsterers,25,29,49,57,16,75,168,116
Canada,6346,Funeral directors and embalmers,0,0,0,0,1,1,2,1
Canada,6411,Sales and account representatives - wholesale trade (non-technical),8,7,7,11,5,2,12,41
Canada,6421,Retail salespersons,39,25,12,40,17,32,305,502
Canada,6511,Maîtres d'hôtel and hosts/hostesses,0,1,0,1,1,5,22,25
Canada,6512,Bartenders,1,0,4,16,4,4,26,48
Canada,6513,Food and beverage servers,98,61,49,127,73,82,324,687
Canada,6521,Travel counsellors,2,2,2,4,2,0,1,8
Canada,6522,Pursers and flight attendants,9,13,2,4,1,2,3,0
Canada,6523,Airline ticket and service agents,0,0,0,0,0,0,0,3
Canada,6524,"Ground and water transport ticket agents, cargo service representatives and related clerks",0,0,0,0,0,0,0,0
Canada,6525,Hotel front desk clerks,24,28,6,56,36,24,211,330
Canada,6531,Tour and travel guides,78,45,19,20,5,2,6,6
Canada,6532,Outdoor sport and recreational guides,97,74,80,119,30,77,155,190
Canada,6533,Casino occupations,0,0,0,0,0,0,0,0
Canada,6541,Security guards and related security service occupations,12,5,5,8,2,2,37,96
Canada,6551,Customer services representatives - financial institutions,0,0,0,0,0,1,14,47
Canada,6552,Other customer and information services representatives,2,2,0,3,6,6,26,65
Canada,6561,"Image, social and other personal consultants",0,0,3,3,2,0,0,0
Canada,6562,"Estheticians, electrologists and related occupations",20,49,47,126,82,126,442,"1,149"
Canada,6563,Pet groomers and animal care workers,32,26,28,43,27,19,42,41
Canada,6564,Other personal service occupations,1,3,4,3,3,3,9,3
Canada,6611,Cashiers,47,22,4,50,12,5,224,887
Canada,6621,Service station attendants,11,2,0,2,2,0,21,10
Canada,6622,"Store shelf stockers, clerks and order fillers",10,6,0,3,8,2,229,496
Canada,6623,Other sales related occupations,42,31,42,0,2,31,36,56
Canada,6711,"Food counter attendants, kitchen helpers and related support occupations",198,99,170,580,222,19,"4,478","8,333"
Canada,6721,"Support occupations in accommodation, travel and facilities set-up services",0,0,3,0,1,0,10,11
Canada,6722,"Operators and attendants in amusement, recreation and sport",206,150,249,429,97,124,360,445
Canada,6731,Light duty cleaners,160,170,201,486,225,433,"2,524","3,043"
Canada,6732,Specialized cleaners,23,48,45,101,164,60,453,442
Canada,6733,"Janitors, caretakers and building superintendents",2,12,3,32,35,29,220,432
Canada,6741,"Dry cleaning, laundry and related occupations",6,5,4,19,15,28,103,110
Canada,6742,"Other service support occupations, n.e.c.",26,17,23,33,24,14,17,37
Canada,7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",36,12,15,9,64,28,20,31
Canada,7202,"Contractors and supervisors, electrical trades and telecommunications occupations",43,52,22,23,10,18,19,19
Canada,7203,"Contractors and supervisors, pipefitting trades",6,1,1,2,3,0,0,9
Canada,7204,"Contractors and supervisors, carpentry trades",50,46,67,81,37,62,87,104
Canada,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",131,131,106,144,91,95,174,183
Canada,7231,Machinists and machining and tooling inspectors,137,220,385,593,447,546,"1,286","1,084"
Canada,7232,Tool and die makers,17,16,18,22,20,23,78,68
Canada,7233,Sheet metal workers,37,22,20,36,36,39,174,132
Canada,7234,Boilermakers,17,0,37,0,0,0,32,3
Canada,7235,Structural metal and platework fabricators and fitters,81,34,24,63,32,51,178,163
Canada,7236,Ironworkers,31,23,44,98,32,105,169,189
Canada,7237,Welders and related machine operators,371,319,560,946,"1,064",983,"2,542","2,071"
Canada,7241,Electricians (except industrial and power system),97,81,97,134,81,104,201,174
Canada,7242,Industrial electricians,130,43,54,47,63,110,67,74
Canada,7243,Power system electricians,2,0,0,0,0,0,0,1
Canada,7244,Electrical power line and cable workers,139,184,16,16,6,21,7,85
Canada,7245,Telecommunications line and cable workers,28,23,33,49,24,56,195,56
Canada,7246,Telecommunications installation and repair workers,33,28,22,58,36,66,91,136
Canada,7247,Cable television service and maintenance technicians,6,3,1,2,0,4,1,4
Canada,7251,Plumbers,79,71,92,123,102,79,203,214
Canada,7252,"Steamfitters, pipefitters and sprinkler system installers",185,25,28,20,33,16,29,106
Canada,7253,Gas fitters,0,1,5,0,3,0,5,8
Canada,7271,Carpenters,631,625,773,"1,212",959,"1,258","2,474","2,209"
Canada,7272,Cabinetmakers,78,96,107,157,173,174,423,429
Canada,7281,Bricklayers,86,112,168,152,117,159,279,213
Canada,7282,Concrete finishers,259,354,325,417,342,342,831,797
Canada,7283,Tilesetters,154,145,120,205,165,173,288,272
Canada,7284,"Plasterers, drywall installers and finishers and lathers",262,468,307,749,437,643,"1,059","1,031"
Canada,7291,Roofers and shinglers,173,271,227,465,312,433,815,687
Canada,7292,Glaziers,78,37,45,97,64,97,285,153
Canada,7293,Insulators,33,44,40,49,55,51,110,87
Canada,7294,Painters and decorators (except interior decorators),198,176,148,308,270,382,689,855
Canada,7295,Floor covering installers,86,66,66,65,45,78,216,203
Canada,7301,"Contractors and supervisors, mechanic trades",38,23,23,29,24,34,48,52
Canada,7302,"Contractors and supervisors, heavy equipment operator crews",111,84,83,85,80,75,155,110
Canada,7303,"Supervisors, printing and related occupations",13,6,8,8,8,7,22,14
Canada,7304,"Supervisors, railway transport operations",1,0,0,0,0,0,1,1
Canada,7305,"Supervisors, motor transport and other ground transit operators",34,48,36,70,46,68,72,89
Canada,7311,Construction millwrights and industrial mechanics,132,56,116,153,210,182,535,493
Canada,7312,Heavy-duty equipment mechanics,107,71,137,246,266,240,796,944
Canada,7313,Refrigeration and air conditioning mechanics,54,17,20,13,20,31,77,96
Canada,7314,Railway carmen/women,2,0,0,0,0,0,1,0
Canada,7315,Aircraft mechanics and aircraft inspectors,33,69,49,66,71,7,122,68
Canada,7316,Machine fitters,20,1,3,11,3,6,29,38
Canada,7318,Elevator constructors and mechanics,3,2,1,7,0,7,6,16
Canada,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers",152,161,251,518,548,418,"1,421","1,719"
Canada,7322,Motor vehicle body repairers,49,65,96,254,266,114,453,749
Canada,7331,Oil and solid fuel heating mechanics,1,1,2,0,1,1,3,0
Canada,7332,Appliance servicers and repairers,17,12,13,20,23,37,102,101
Canada,7333,Electrical mechanics,24,19,63,99,121,114,495,450
Canada,7334,"Motorcycle, all-terrain vehicle and other related mechanics",6,5,11,8,24,12,38,80
Canada,7335,Other small engine and small equipment repairers,1,10,2,6,11,11,39,39
Canada,7361,Railway and yard locomotive engineers,0,0,0,0,0,0,0,0
Canada,7362,Railway conductors and brakemen/women,0,0,1,0,0,0,0,0
